date,time,PAR_raw,PAR_calibrated_umol/m^2/s
2016-01-01, 00:15:00,0,0
2016-01-01, 00:30:00,0,0
2016-01-01, 00:45:00,0,0
2016-01-01, 01:00:00,0,0
2016-01-01, 01:15:00,0,0
2016-01-01, 01:30:00,0,0
2016-01-01, 01:45:00,0,0
2016-01-01, 02:00:00,0,0
2016-01-01, 02:15:00,0,0
2016-01-01, 02:30:00,0,0
2016-01-01, 02:45:00,0,0
2016-01-01, 03:00:00,0,0
2016-01-01, 03:15:00,0,0
2016-01-01, 03:30:00,0,0
2016-01-01, 03:45:00,0,0
2016-01-01, 04:00:00,0,0
2016-01-01, 04:15:00,0,0
2016-01-01, 04:30:00,0,0
2016-01-01, 04:45:00,0,0
2016-01-01, 05:00:00,0,0
2016-01-01, 05:15:00,0,0
2016-01-01, 05:30:00,0,0
2016-01-01, 05:45:00,0,0
2016-01-01, 06:00:00,0,0
2016-01-01, 06:15:00,0,0
2016-01-01, 06:30:00,0,0
2016-01-01, 06:45:00,0,0
2016-01-01, 07:00:00,0,0
2016-01-01, 07:15:00,0,0
2016-01-01, 07:30:00,0,0
2016-01-01, 07:45:00,0,0
2016-01-01, 08:00:00,0,0
2016-01-01, 08:15:00,0,0
2016-01-01, 08:30:00,0,0
2016-01-01, 08:45:00,0,0
2016-01-01, 09:00:00,53,5.512
2016-01-01, 09:15:00,369,38.376
2016-01-01, 09:30:00,450,46.8
2016-01-01, 09:45:00,612,63.648
2016-01-01, 10:00:00,790,82.16
2016-01-01, 10:15:00,964,100.256
2016-01-01, 10:30:00,1199,124.696
2016-01-01, 10:45:00,1494,155.376
2016-01-01, 11:00:00,1768,183.872
2016-01-01, 11:15:00,2110,219.44
2016-01-01, 11:30:00,2328,242.112
2016-01-01, 11:45:00,2523,262.392
2016-01-01, 12:00:00,2686,279.344
2016-01-01, 12:15:00,2854,296.816
2016-01-01, 12:30:00,3032,315.328
2016-01-01, 12:45:00,3120,324.48
2016-01-01, 13:00:00,3297,342.888
2016-01-01, 13:15:00,3500,364
2016-01-01, 13:30:00,2872,298.688
2016-01-01, 13:45:00,1943,202.072
